epoch,step,train_loss,train_accuracy_step,val_accuracy_step,val_accuracy_epoch,val_loss,train_accuracy_epoch
,637,,,0.375,,,
,638,,,0.1875,,,
,639,,,0.34375,,,
,640,,,0.28125,,,
,641,,,0.375,,,
,642,,,0.28125,,,
,643,,,0.28125,,,
,644,,,0.375,,,
,645,,,0.3125,,,
,646,,,0.28125,,,
,647,,,0.3125,,,
,648,,,0.375,,,
,649,,,0.3125,,,
,650,,,0.375,,,
,651,,,0.40625,,,
,652,,,0.53125,,,
,653,,,0.375,,,
,654,,,0.40625,,,
,655,,,0.28125,,,
,656,,,0.25,,,
,657,,,0.1875,,,
,658,,,0.375,,,
,659,,,0.34375,,,
,660,,,0.3125,,,
,661,,,0.34375,,,
,662,,,0.5,,,
,663,,,0.34375,,,
,664,,,0.28125,,,
,665,,,0.5,,,
,666,,,0.3125,,,
,667,,,0.40625,,,
,668,,,0.34375,,,
,669,,,0.375,,,
,670,,,0.375,,,
,671,,,0.3125,,,
,672,,,0.28125,,,
,673,,,0.28125,,,
,674,,,0.4375,,,
,675,,,0.40625,,,
,676,,,0.375,,,
,677,,,0.28125,,,
,678,,,0.53125,,,
,679,,,0.34375,,,
,680,,,0.40625,,,
,681,,,0.3125,,,
,682,,,0.375,,,
,683,,,0.46875,,,
,684,,,0.25,,,
,685,,,0.40625,,,
,686,,,0.34375,,,
,687,,,0.21875,,,
,688,,,0.4375,,,
,689,,,0.3125,,,
,690,,,0.25,,,
,691,,,0.25,,,
,692,,,0.34375,,,
,693,,,0.28125,,,
,694,,,0.5625,,,
,695,,,0.25,,,
,696,,,0.46875,,,
,697,,,0.28125,,,
,698,,,0.34375,,,
,699,,,0.4375,,,
,700,,,0.28125,,,
,701,,,0.34375,,,
,702,,,0.46875,,,
,703,,,0.34375,,,
,704,,,0.4375,,,
,705,,,0.40625,,,
,706,,,0.3125,,,
,707,,,0.25,,,
,708,,,0.375,,,
,709,,,0.3125,,,
,710,,,0.34375,,,
,711,,,0.5,,,
,712,,,0.4375,,,
,713,,,0.375,,,
,714,,,0.28125,,,
,715,,,0.4375,,,
,716,,,0.34375,,,
,717,,,0.3125,,,
,718,,,0.25,,,
,719,,,0.28125,,,
,720,,,0.34375,,,
,721,,,0.34375,,,
,722,,,0.375,,,
,723,,,0.3125,,,
,724,,,0.40625,,,
,725,,,0.46875,,,
,726,,,0.46875,,,
,727,,,0.40625,,,
,728,,,0.21875,,,
,729,,,0.3125,,,
,730,,,0.1875,,,
,731,,,0.3125,,,
,732,,,0.3125,,,
,733,,,0.375,,,
,734,,,0.34375,,,
,735,,,0.40625,,,
,736,,,0.1875,,,
,737,,,0.34375,,,
,738,,,0.3125,,,
,739,,,0.46875,,,
,740,,,0.5,,,
,741,,,0.53125,,,
,742,,,0.375,,,
,743,,,0.34375,,,
,744,,,0.40625,,,
,745,,,0.3125,,,
,746,,,0.21875,,,
,747,,,0.34375,,,
,748,,,0.375,,,
,749,,,0.40625,,,
,750,,,0.40625,,,
,751,,,0.25,,,
,752,,,0.21875,,,
,753,,,0.25,,,
,754,,,0.34375,,,
,755,,,0.34375,,,
,756,,,0.4375,,,
,757,,,0.34375,,,
,758,,,0.375,,,
,759,,,0.25,,,
,760,,,0.28125,,,
,761,,,0.4375,,,
,762,,,0.4375,,,
,763,,,0.4375,,,
,764,,,0.28125,,,
,765,,,0.375,,,
,766,,,0.21875,,,
,767,,,0.4375,,,
,768,,,0.34375,,,
,769,,,0.34375,,,
,770,,,0.375,,,
,771,,,0.21875,,,
,772,,,0.28125,,,
,773,,,0.4375,,,
,774,,,0.21875,,,
,775,,,0.28125,,,
,776,,,0.375,,,
,777,,,0.4375,,,
,778,,,0.3125,,,
,779,,,0.40625,,,
,780,,,0.4375,,,
,781,,,0.3125,,,
,782,,,0.34375,,,
,783,,,0.25,,,
,784,,,0.25,,,
,785,,,0.1875,,,
,786,,,0.28125,,,
,787,,,0.25,,,
,788,,,0.21875,,,
,789,,,0.34375,,,
,790,,,0.375,,,
,791,,,0.4375,,,
,792,,,0.28125,,,
,793,,,0.3125,,,
,794,,,0.34375,,,
,795,,,0.34375,,,
,796,,,0.53125,,,
,797,,,0.5,,,
,798,,,0.40625,,,
,799,,,0.34375,,,
,800,,,0.4375,,,
,801,,,0.34375,,,
,802,,,0.40625,,,
,803,,,0.25,,,
,804,,,0.3125,,,
,805,,,0.375,,,
,806,,,0.375,,,
,807,,,0.15625,,,
,808,,,0.21875,,,
,809,,,0.34375,,,
,810,,,0.21875,,,
,811,,,0.40625,,,
,812,,,0.375,,,
,813,,,0.28125,,,
,814,,,0.34375,,,
,815,,,0.3125,,,
,816,,,0.34375,,,
,817,,,0.375,,,
,818,,,0.53125,,,
,819,,,0.3125,,,
,820,,,0.4375,,,
,821,,,0.34375,,,
,822,,,0.34375,,,
,823,,,0.46875,,,
,824,,,0.5,,,
,825,,,0.375,,,
,826,,,0.28125,,,
,827,,,0.3125,,,
,828,,,0.46875,,,
,829,,,0.4375,,,
,830,,,0.375,,,
,831,,,0.3125,,,
,832,,,0.5,,,
,833,,,0.28125,,,
,834,,,0.4375,,,
,835,,,0.34375,,,
,836,,,0.375,,,
,837,,,0.5,,,
,838,,,0.28125,,,
,839,,,0.40625,,,
,840,,,0.4375,,,
,841,,,0.53125,,,
